Time(s)	Displ(microns)	Friction	Effective_Normal_stress(MPa)
11746.092000	10028.875724	0.607924	19.939211
11746.093000	10028.654074	0.607865	19.949914
11746.094000	10029.522749	0.608107	19.947572
11746.095000	10029.897131	0.607938	19.955414
11746.096000	10029.447675	0.607925	19.955581
11746.097000	10030.066219	0.608051	19.950677
11746.098000	10029.698958	0.608360	19.945619
11746.099000	10029.598360	0.607971	19.955215
11746.100000	10030.404804	0.607799	19.961631
11746.101000	10030.345802	0.608169	19.948014
11746.102000	10030.434734	0.608189	19.954818
11746.103000	10030.216833	0.608385	19.946862
11746.104000	10030.383844	0.608218	19.950349
11746.105000	10030.506539	0.607596	19.969931
11746.106000	10030.291823	0.607860	19.966071
11746.107000	10030.998848	0.607484	19.965025
11746.108000	10031.203020	0.607384	19.962760
11746.109000	10031.322525	0.606905	19.963370
11746.110000	10030.871131	0.606884	19.962249
11746.111000	10031.331846	0.607093	19.961989
11746.112000	10030.757284	0.607713	19.949341
11746.113000	10031.483623	0.607473	19.954574
11746.114000	10031.160669	0.608052	19.944971
11746.115000	10031.388255	0.607665	19.947938
11746.116000	10030.865742	0.607402	19.948388
11746.117000	10030.597352	0.607754	19.940515
11746.118000	10030.970918	0.607169	19.955475
11746.119000	10031.657763	0.606902	19.960853
11746.120000	10031.816487	0.606541	19.961425
11746.121000	10030.959675	0.607088	19.968672
11746.122000	10031.393207	0.607586	19.965956
11746.123000	10032.205445	0.608411	19.963530
11746.124000	10032.416387	0.608519	19.965964
11746.125000	10031.822934	0.609576	19.961715
11746.126000	10032.288101	0.609316	19.972623
11746.127000	10032.850095	0.609623	19.956649
11746.128000	10032.523839	0.610134	19.949944
11746.129000	10032.683095	0.609840	19.962882
11746.130000	10032.810303	0.609702	19.959388
11746.131000	10033.059213	0.609973	19.949586
11746.132000	10032.822592	0.610211	19.953957
11746.133000	10033.299085	0.610576	19.954651
11746.134000	10033.294766	0.610121	19.953354
11746.135000	10033.509869	0.609404	19.965430
11746.136000	10033.546259	0.610206	19.950333
11746.137000	10034.220556	0.609864	19.953980
11746.138000	10033.838273	0.609457	19.949647
11746.139000	10033.866888	0.608638	19.956840
11746.140000	10034.303515	0.608991	19.952904
11746.141000	10034.204427	0.608905	19.956238
11746.142000	10034.142012	0.608678	19.966368
11746.143000	10033.988642	0.608794	19.958808
11746.144000	10034.398771	0.608929	19.957267
11746.145000	10034.514361	0.608526	19.964751
11746.146000	10034.101991	0.608169	19.960799
11746.147000	10034.172910	0.607791	19.967299
11746.148000	10034.346297	0.607765	19.962004
11746.149000	10035.027666	0.607498	19.959686
11746.150000	10034.443381	0.607480	19.967352
11746.151000	10034.737363	0.607925	19.959709
11746.152000	10035.179817	0.608071	19.952698
11746.153000	10035.456597	0.608050	19.962401
11746.154000	10035.896077	0.608646	19.956008
11746.155000	10035.844649	0.608671	19.956871
11746.156000	10035.859429	0.608368	19.961989
11746.157000	10035.197131	0.608929	19.949662
11746.158000	10035.606022	0.608984	19.953354
11746.159000	10036.470687	0.608338	19.953911
11746.160000	10036.015743	0.607676	19.954773
11746.161000	10036.381794	0.607680	19.954124
11746.162000	10036.735253	0.607949	19.950516
11746.163000	10036.474688	0.607826	19.958800
11746.164000	10036.441013	0.608291	19.952324
11746.165000	10037.135717	0.608203	19.950387
11746.166000	10036.699267	0.608005	19.949181
11746.167000	10036.667497	0.607310	19.960471
11746.168000	10036.817677	0.606908	19.963195
11746.169000	10036.410877	0.607092	19.954544
11746.170000	10036.363203	0.606837	19.946374
11746.171000	10037.153726	0.606524	19.947465
11746.172000	10037.305088	0.606483	19.956093
11746.173000	10036.865162	0.607017	19.950913
11746.174000	10037.127155	0.606778	19.964736
11746.175000	10037.679474	0.607247	19.951645
11746.176000	10037.360984	0.607221	19.956222
11746.177000	10037.530565	0.607765	19.950951
11746.178000	10037.391013	0.607116	19.963637
11746.179000	10037.814219	0.606728	19.966849
11746.180000	10037.921428	0.607442	19.949731
11746.181000	10038.193864	0.607992	19.951294
11746.182000	10038.099020	0.608053	19.955177
11746.183000	10038.072606	0.607499	19.963629
11746.184000	10038.363126	0.607804	19.967741
11746.185000	10038.246141	0.608600	19.957496
11746.186000	10038.689655	0.607995	19.958732
11746.187000	10038.633009	0.607514	19.974363
11746.188000	10038.591382	0.607471	19.967642
11746.189000	10038.688755	0.608235	19.949814
11746.190000	10038.968747	0.607666	19.959587
11746.191000	10038.627150	0.607500	19.962844
11746.192000	10038.569296	0.608102	19.963828
11746.193000	10038.965970	0.608441	19.955841
11746.194000	10039.093462	0.608396	19.955597
11746.195000	10039.590717	0.608552	19.952828
11746.196000	10040.050606	0.608799	19.947747
11746.197000	10040.019129	0.608532	19.947320
11746.198000	10039.952132	0.608318	19.956817
11746.199000	10039.957944	0.608727	19.946000
11746.200000	10039.753878	0.608596	19.960715
11746.201000	10040.421175	0.608612	19.952599
11746.202000	10040.388003	0.608783	19.952553
11746.203000	10040.454343	0.608732	19.953553
11746.204000	10040.418384	0.608569	19.948456
11746.205000	10040.829418	0.608003	19.962066
11746.206000	10040.607958	0.608005	19.957283
11746.207000	10040.912593	0.608001	19.960059
11746.208000	10040.596769	0.607504	19.961410
11746.209000	10040.450158	0.607068	19.972097
11746.210000	10040.553781	0.606795	19.970312
11746.211000	10041.039926	0.607221	19.962699
11746.212000	10041.113238	0.607070	19.962554
11746.213000	10041.350624	0.607261	19.963034
11746.214000	10041.136094	0.607590	19.953468
11746.215000	10040.822167	0.607925	19.952858
11746.216000	10041.536625	0.607967	19.954224
11746.217000	10041.638568	0.607959	19.961448
11746.218000	10041.128490	0.608153	19.952637
11746.219000	10041.114313	0.607998	19.957824
11746.220000	10042.016850	0.607655	19.961860
11746.221000	10041.657505	0.608728	19.950142
11746.222000	10041.910214	0.608963	19.956443
11746.223000	10041.865130	0.608733	19.954597
11746.224000	10042.678343	0.608533	19.959571
11746.225000	10042.505217	0.609013	19.957275
11746.226000	10041.965493	0.609187	19.962829
11746.227000	10043.109883	0.609570	19.948098
11746.228000	10042.840715	0.609200	19.956336
11746.229000	10042.682902	0.609111	19.955688
11746.230000	10043.103168	0.609031	19.958183
11746.231000	10043.222352	0.608335	19.962096
11746.232000	10043.052939	0.608678	19.956001
11746.233000	10042.997223	0.609221	19.956886
11746.234000	10043.484254	0.608782	19.963843
11746.235000	10043.848359	0.608442	19.966017
11746.236000	10043.353237	0.608331	19.960327
11746.237000	10043.634899	0.608329	19.964507
11746.238000	10044.080858	0.608523	19.955177
11746.239000	10044.092349	0.608103	19.952370
11746.240000	10043.887309	0.607556	19.968870
11746.241000	10044.545716	0.607681	19.966551
11746.242000	10044.122248	0.607652	19.954338
11746.243000	10044.073901	0.608122	19.947007
11746.244000	10044.576615	0.608413	19.942560
11746.245000	10044.467155	0.607955	19.952858
11746.246000	10044.880106	0.607868	19.957710
11746.247000	10044.471432	0.607705	19.946039
11746.248000	10044.311129	0.607697	19.947465
11746.249000	10044.720972	0.607349	19.952523
11746.250000	10044.763192	0.607433	19.955604
11746.251000	10044.989263	0.606994	19.964537
11746.252000	10045.534551	0.607528	19.957260
11746.253000	10045.293279	0.607966	19.949959
11746.254000	10045.344238	0.607908	19.949403
11746.255000	10045.141645	0.608104	19.958129
11746.256000	10045.466926	0.608398	19.950837
11746.257000	10045.465704	0.608059	19.954628
11746.258000	10045.412586	0.607676	19.963301
11746.259000	10045.926006	0.607119	19.969992
11746.260000	10045.703432	0.607149	19.964819
11746.261000	10045.247625	0.607093	19.982937
11746.262000	10045.565446	0.608078	19.962569
