Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11745.419000	10002.030000	0.607434	19.959846
11745.420000	10002.193000	0.607170	19.957893
11745.421000	10002.128000	0.607643	19.947076
11745.422000	10002.334000	0.607918	19.942033
11745.423000	10002.566000	0.608049	19.951256
11745.424000	10002.877000	0.607971	19.951752
11745.425000	10002.670000	0.608093	19.952797
11745.426000	10002.658000	0.608318	19.951218
11745.427000	10003.163000	0.608163	19.950844
11745.428000	10003.023000	0.607969	19.950104
11745.429000	10003.436000	0.607310	19.963439
11745.430000	10003.200000	0.607274	19.965941
11745.431000	10003.102000	0.607207	19.962813
11745.432000	10003.121000	0.607859	19.955490
11745.433000	10003.414000	0.607811	19.959602
11745.434000	10004.087000	0.607758	19.966399
11745.435000	10003.858000	0.607481	19.973279
11745.436000	10003.694000	0.607522	19.963759
11745.437000	10003.722000	0.607908	19.957855
11745.438000	10003.375000	0.607432	19.964514
11745.439000	10003.382000	0.607391	19.964942
11745.440000	10004.594000	0.607593	19.957992
11745.441000	10003.823000	0.607525	19.963843
11745.442000	10004.272000	0.607927	19.949463
11745.443000	10003.903000	0.608116	19.954834
11745.444000	10004.667000	0.608246	19.953888
11745.445000	10005.331000	0.608220	19.962714
11745.446000	10004.921000	0.608248	19.958045
11745.447000	10005.616000	0.608515	19.955620
11745.448000	10005.186000	0.608658	19.948464
11745.449000	10005.132000	0.608490	19.947098
11745.450000	10005.497000	0.608562	19.955353
11745.451000	10004.889000	0.608331	19.952904
11745.452000	10005.485000	0.608493	19.949792
11745.453000	10005.300000	0.608260	19.957382
11745.454000	10005.056000	0.608281	19.961257
11745.455000	10005.230000	0.607935	19.958206
11745.456000	10005.516000	0.608004	19.944833
11745.457000	10005.366000	0.607788	19.954086
11745.458000	10005.554000	0.607345	19.965460
11745.459000	10005.861000	0.607616	19.958099
11745.460000	10005.792000	0.607721	19.957863
11745.461000	10006.584000	0.607695	19.964873
11745.462000	10006.195000	0.608262	19.962203
11745.463000	10006.020000	0.608638	19.962325
11745.464000	10006.407000	0.608877	19.962478
11745.465000	10006.980000	0.609254	19.956810
11745.466000	10006.913000	0.609052	19.963179
11745.467000	10007.149000	0.608914	19.975507
11745.468000	10007.250000	0.608447	19.973592
11745.469000	10007.451000	0.608795	19.958907
11745.470000	10007.622000	0.609023	19.963728
11745.471000	10008.197000	0.608702	19.972524
11745.472000	10007.516000	0.608848	19.964804
11745.473000	10007.524000	0.609084	19.958496
11745.474000	10007.724000	0.608949	19.964552
11745.475000	10007.606000	0.609246	19.951325
11745.476000	10008.306000	0.608913	19.951905
11745.477000	10008.427000	0.608628	19.946572
11745.478000	10008.197000	0.607915	19.959464
11745.479000	10007.777000	0.607625	19.958633
11745.480000	10007.381000	0.607463	19.958717
11745.481000	10008.185000	0.607927	19.950295
11745.482000	10008.564000	0.608301	19.944184
11745.483000	10008.107000	0.607896	19.946442
11745.484000	10008.833000	0.607547	19.951683
11745.485000	10008.779000	0.607804	19.947098
11745.486000	10008.679000	0.607810	19.953346
11745.487000	10008.950000	0.608367	19.944940
11745.488000	10008.743000	0.607944	19.956077
11745.489000	10009.100000	0.607275	19.963072
11745.490000	10009.301000	0.607704	19.951439
11745.491000	10008.694000	0.607379	19.962615
11745.492000	10009.134000	0.607568	19.957992
11745.493000	10009.247000	0.607617	19.965346
11745.494000	10009.587000	0.607887	19.969824
