Time(s)	Displ(microns)	Friction	EffectiveNormalstress(MPa)
11132.970000	3596.160000	0.495030	30.001545
11133.096000	3596.565000	0.494874	30.000949
11133.222000	3596.666000	0.494640	30.001408
11133.358000	3596.788000	0.494242	30.002451
11133.494000	3597.091000	0.494604	30.004136
11133.630000	3597.496000	0.494412	30.006148
11133.766000	3597.354000	0.494815	30.005653
11133.902000	3597.799000	0.494488	30.006762
11134.038000	3598.002000	0.493869	30.008303
11134.184000	3598.366000	0.494797	30.007073
11134.310000	3598.629000	0.494554	30.003902
11134.446000	3599.378000	0.496020	30.002233
11134.582000	3598.953000	0.494868	30.000189
11134.718000	3599.499000	0.495181	29.994692
11134.864000	3599.884000	0.494962	29.992243
11134.990000	3600.086000	0.495125	29.990614
11135.126000	3600.086000	0.495011	29.990582
11135.252000	3600.693000	0.495094	29.991064
11135.388000	3600.734000	0.495651	29.992463
11135.524000	3600.734000	0.495182	29.995082
11135.680000	3601.503000	0.494859	29.996054
11135.806000	3601.523000	0.495045	29.997092
11135.942000	3601.786000	0.494994	29.995745
11136.068000	3601.745000	0.495318	29.994593
11136.214000	3602.332000	0.494512	29.996145
11136.360000	3602.352000	0.494619	29.994464
11136.486000	3602.656000	0.495059	29.994160
11136.612000	3602.879000	0.495043	29.992030
11136.738000	3603.384000	0.494601	29.992332
11136.874000	3603.162000	0.495188	29.992232
11137.010000	3603.951000	0.495136	29.991066
11137.146000	3604.133000	0.495494	29.988272
11137.292000	3604.538000	0.495049	29.984123
11137.438000	3604.680000	0.495672	29.983343
11137.564000	3604.619000	0.495904	29.984226
11137.700000	3605.206000	0.495029	29.984732
11137.826000	3605.489000	0.495013	29.986713
11137.962000	3605.671000	0.495518	29.990080
11138.098000	3605.914000	0.495375	29.995676
11138.234000	3606.197000	0.494786	29.998921
11138.370000	3606.400000	0.494958	30.002796
11138.496000	3606.885000	0.495058	30.006380
11138.622000	3606.986000	0.495101	30.008927
11138.768000	3607.290000	0.494631	30.009743
11138.904000	3607.776000	0.494387	30.008580
11139.040000	3607.695000	0.494860	30.007446
11139.186000	3608.099000	0.495093	30.005950
11139.332000	3608.565000	0.495756	30.004702
11139.468000	3608.484000	0.494465	30.001030
11139.594000	3608.828000	0.495086	29.997118
11139.730000	3608.970000	0.494861	29.992050
11139.856000	3609.293000	0.494647	29.989417
11139.992000	3609.779000	0.494598	29.989859
11140.128000	3610.042000	0.495464	29.988896
11140.264000	3610.265000	0.494924	29.989288
11140.400000	3610.427000	0.495338	29.993934
11140.526000	3610.912000	0.495340	29.995588
11140.672000	3610.872000	0.495472	29.994479
11140.798000	3610.912000	0.495649	29.995920
11140.934000	3611.620000	0.495349	29.993856
11141.070000	3611.418000	0.495471	29.991419
11141.206000	3611.620000	0.496073	29.988717
11141.342000	3612.066000	0.495284	29.986725
11141.478000	3612.430000	0.495567	29.986020
11141.614000	3612.693000	0.495923	29.986417
11141.760000	3612.774000	0.495107	29.988778
11141.886000	3613.077000	0.495288	29.990385
11142.012000	3613.280000	0.495374	29.994804
11142.148000	3613.442000	0.495059	29.995607
11142.284000	3613.867000	0.495474	29.996682
11142.430000	3613.988000	0.495334	29.995156
11142.556000	3613.968000	0.496162	29.994275
11142.702000	3614.393000	0.495260	29.992923
11142.828000	3614.676000	0.495912	29.991320
11142.964000	3614.980000	0.496110	29.989711
11143.100000	3615.182000	0.496198	29.989918
11143.236000	3615.344000	0.496216	29.989814
11143.372000	3615.708000	0.496116	29.989078
11143.498000	3615.890000	0.495770	29.989264
11143.624000	3616.214000	0.496131	29.989170
11143.750000	3616.356000	0.495936	29.990431
11143.876000	3616.457000	0.495987	29.990718
11144.012000	3616.598000	0.496190	29.991977
11144.138000	3616.983000	0.495594	29.992512
11144.274000	3617.165000	0.495496	29.991768
11144.420000	3617.529000	0.495812	29.993994
11144.556000	3617.772000	0.495992	29.994497
11144.682000	3618.177000	0.496320	29.994178
11144.818000	3618.116000	0.496784	29.993637
11144.954000	3618.278000	0.495452	29.993171
11145.110000	3618.723000	0.495743	29.990862
11145.236000	3618.723000	0.496263	29.990327
11145.372000	3618.784000	0.496542	29.987654
11145.498000	3619.512000	0.495970	29.987901
11145.634000	3619.533000	0.496586	29.989138
11145.770000	3619.573000	0.497530	29.989100
11145.926000	3619.937000	0.497351	29.986640
11146.052000	3620.059000	0.497299	29.986481
11146.178000	3620.180000	0.496724	29.985986
11146.314000	3620.888000	0.496991	29.988792
11146.440000	3620.666000	0.497388	29.988874
11146.566000	3621.354000	0.497845	29.987890
11146.692000	3621.253000	0.497521	29.986290
11146.818000	3621.718000	0.497639	29.990053
11146.984000	3622.163000	0.497706	29.992541
11147.120000	3622.467000	0.497335	29.996239
11147.256000	3623.135000	0.497833	29.997014
11147.392000	3623.216000	0.497751	29.998368
11147.528000	3623.337000	0.497537	30.000726
11147.674000	3623.499000	0.497233	30.003758
11147.800000	3624.207000	0.497518	30.001737
11147.926000	3624.248000	0.497748	30.001531
11148.072000	3624.329000	0.497672	30.002449
11148.198000	3624.753000	0.497998	30.004016
11148.324000	3625.441000	0.498418	30.004557
11148.450000	3625.745000	0.498421	30.006186
11148.576000	3625.522000	0.497708	30.005733
11148.712000	3626.231000	0.497597	30.005471
11148.838000	3626.251000	0.496958	30.005237
11148.974000	3626.352000	0.498092	30.005067
11149.110000	3627.081000	0.497878	30.005283
11149.246000	3627.465000	0.498657	30.005919
11149.392000	3627.303000	0.498010	30.007021
11149.518000	3627.890000	0.497993	30.005960
11149.674000	3628.011000	0.497534	30.006197
11149.800000	3628.679000	0.498392	30.008540
11149.956000	3629.064000	0.498163	30.008601
11150.092000	3629.145000	0.497973	30.002860
11150.228000	3629.367000	0.498538	30.000015
11150.374000	3629.934000	0.497869	29.995624
11150.510000	3630.359000	0.498748	29.992284
11150.636000	3630.683000	0.498236	29.991494
11150.772000	3631.148000	0.498549	29.990089
11150.928000	3631.290000	0.498041	29.987269
11151.074000	3631.573000	0.497950	29.989150
11151.200000	3632.241000	0.498082	29.992213
11151.336000	3632.524000	0.497511	29.996358
11151.462000	3632.747000	0.497809	29.997607
11151.588000	3633.111000	0.497555	29.998121
11151.714000	3633.576000	0.496524	30.002464
11151.850000	3633.920000	0.497471	30.003186
11151.986000	3634.365000	0.497519	30.003500
11152.122000	3634.285000	0.497330	30.004342
11152.258000	3634.871000	0.496913	30.003347
11152.394000	3634.993000	0.497444	30.000294
11152.540000	3635.296000	0.496649	29.999373
11152.676000	3635.762000	0.495777	29.998609
11152.802000	3636.146000	0.496194	29.996682
11152.948000	3636.510000	0.495805	29.998305
11153.074000	3636.612000	0.495748	29.998448
11153.200000	3636.976000	0.495460	29.997880
