Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11657.100000	8652.746000	0.608277	19.968295
11657.200000	8653.010000	0.607513	19.967907
11657.300000	8653.272000	0.607445	19.967901
11657.400000	8653.610000	0.608369	19.968462
11657.500000	8653.882000	0.607370	19.968402
11657.600000	8654.183000	0.607827	19.967692
11657.700000	8654.502000	0.607986	19.967482
11657.800000	8654.836000	0.608392	19.967864
11657.900000	8655.028000	0.607480	19.968077
11658.000000	8655.418000	0.608423	19.967852
11658.100000	8655.700000	0.608475	19.967703
11658.200000	8656.011000	0.608069	19.968161
11658.300000	8656.281000	0.607255	19.967399
11658.400000	8656.611000	0.607361	19.968051
11658.500000	8656.893000	0.607521	19.967977
11658.600000	8657.158000	0.607071	19.968304
11658.700000	8657.534000	0.607408	19.967208
11658.800000	8657.761000	0.607290	19.967723
11658.900000	8658.088000	0.607572	19.967459
11659.000000	8658.441000	0.608077	19.967985
11659.100000	8658.676000	0.608173	19.967765
11659.200000	8658.972000	0.608106	19.968035
11659.300000	8659.337000	0.606617	19.967300
11659.400000	8659.543000	0.607417	19.967761
11659.500000	8659.919000	0.607651	19.967140
11659.600000	8660.215000	0.607524	19.967669
11659.700000	8660.496000	0.607040	19.967758
11659.800000	8660.819000	0.606927	19.968099
11659.900000	8661.067000	0.607331	19.967817
11660.000000	8661.390000	0.607696	19.967338
11660.100000	8661.686000	0.608900	19.968246
11660.200000	8661.988000	0.608945	19.967411
11660.300000	8662.329000	0.608811	19.968272
11660.400000	8662.620000	0.607522	19.967239
11660.500000	8662.858000	0.608140	19.968151
11660.600000	8663.192000	0.607957	19.967299
11660.700000	8663.518000	0.608097	19.967879
11660.800000	8663.798000	0.607225	19.967772
11660.900000	8664.121000	0.607840	19.967818
11661.000000	8664.370000	0.607467	19.967756
11661.100000	8664.737000	0.608359	19.967410
11661.200000	8665.018000	0.607008	19.967955
11661.300000	8665.249000	0.607501	19.967852
11661.400000	8665.586000	0.608823	19.967430
11661.500000	8665.895000	0.608593	19.967434
11661.600000	8666.210000	0.607575	19.967871
11661.700000	8666.478000	0.607767	19.967070
11661.800000	8666.880000	0.606988	19.968091
11661.900000	8667.072000	0.606301	19.967480
11662.000000	8667.390000	0.606511	19.967532
11662.100000	8667.685000	0.607080	19.967271
11662.200000	8667.995000	0.607062	19.968155
11662.300000	8668.338000	0.607750	19.967464
11662.400000	8668.587000	0.607136	19.967796
11662.500000	8668.899000	0.606530	19.967924
